

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.18826412308259; player life: 0; enemy life: 100; time: 487

RUN: run status: enemy: 5; fitness: -0.6277552789821028; player life: 62.80000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.8277552789821057; player life: 50.80000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 1.4722447210178782; player life: 83.80000000000015; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.0722447210178725; player life: 89.8000000000001; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.590301048196686; player life: 0; enemy life: 100; time: 728

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.6677552789821073; player life: 42.40000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.113682179832232; player life: 0; enemy life: 100; time: 452

RUN: run status: enemy: 5; fitness: -6.150602768446279; player life: 0; enemy life: 100; time: 469

RUN: run status: enemy: 5; fitness: -6.343880434126331; player life: 0; enemy life: 100; time: 569

RUN: run status: enemy: 5; fitness: -1.2877552789821038; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.561030665896573; player life: 0; enemy life: 100; time: 707

RUN: run status: enemy: 5; fitness: 65.21780794399321; player life: 0; enemy life: 20.0; time: 882

RUN: run status: enemy: 5; fitness: 2.2144123549920707; player life: 0; enemy life: 90.0; time: 885

RUN: run status: enemy: 5; fitness: 87.31052820481507; player life: 29.20000000000026; enemy life: 0; time: 273

RUN: run status: enemy: 5; fitness: 11.60473840188455; player life: 0; enemy life: 80.0; time: 599

RUN: run status: enemy: 5; fitness: -1.0477552789821036; player life: 58.60000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.62775527898211; player life: 32.80000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 20.5292004962174; player life: 0; enemy life: 70.0; time: 646

RUN: run status: enemy: 5; fitness: 15.452244721017891; player life: 43.60000000000029; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.804614520062624; player life: 0; enemy life: 100; time: 902

RUN: run status: enemy: 5; fitness: 20.497209954084376; player life: 0; enemy life: 70.0; time: 667

RUN: run status: enemy: 5; fitness: 19.65224472101788; player life: 85.60000000000014; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -2.4877552789821076; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.059123195581797; player life: 0; enemy life: 100; time: 428

RUN: run status: enemy: 5; fitness: 87.78324619773174; player life: 34.60000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: -3.4477552789821093; player life: 34.60000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -5.966146739123692; player life: 0; enemy life: 100; time: 390

RUN: run status: enemy: 5; fitness: -6.028278520230698; player life: 0; enemy life: 100; time: 415

RUN: run status: enemy: 5; fitness: 65.32417677836516; player life: 0; enemy life: 20.0; time: 793

RUN: run status: enemy: 5; fitness: 32.25224472101789; player life: 31.600000000000264; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: -3.207755278982109; player life: 37.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.5032250098141375; player life: 0; enemy life: 90.0; time: 663

RUN: run status: enemy: 5; fitness: -6.39024066706535; player life: 0; enemy life: 100; time: 596

RUN: run status: enemy: 5; fitness: 0.21224472101789083; player life: 71.20000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.31302464366021; player life: 40.000000000000284; enemy life: 0; time: 295

RUN: run status: enemy: 5; fitness: 26.492244721017897; player life: 64.00000000000034; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 65.36931661435763; player life: 0; enemy life: 20.0; time: 758

RUN: run status: enemy: 5; fitness: 4.952244721017889; player life: 28.600000000000257; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 38.721478575834155; player life: 0; enemy life: 50.0; time: 533

RUN: run status: enemy: 5; fitness: 41.25224472101789; player life: 31.600000000000264; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: 48.55326262833369; player life: 0; enemy life: 40.0; time: 232

RUN: run status: enemy: 5; fitness: 88.65455310235679; player life: 43.00000000000029; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: -3.207755278982109; player life: 37.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.744249958246633; player life: 0; enemy life: 90.0; time: 521

RUN: run status: enemy: 5; fitness: 11.382597022025521; player life: 0; enemy life: 80.0; time: 748

RUN: run status: enemy: 5; fitness: 87.21837773219352; player life: 36.400000000000276; enemy life: 0; time: 615

RUN: run status: enemy: 5; fitness: 90.2052886203982; player life: 58.00000000000033; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: -1.8277552789821057; player life: 50.80000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 11.631812813649507; player life: 0; enemy life: 80.0; time: 583

RUN: run status: enemy: 5; fitness: -6.030685260261263; player life: 0; enemy life: 100; time: 416

RUN: run status: enemy: 5; fitness: 85.66737060368045; player life: 20.200000000000237; enemy life: 0; time: 574

RUN: run status: enemy: 5; fitness: 89.84284613236329; player life: 57.400000000000325; enemy life: 0; time: 364

RUN: run status: enemy: 5; fitness: 84.52413272989426; player life: 7.000000000000233; enemy life: 0; time: 481

RUN: run status: enemy: 5; fitness: 6.032244721017891; player life: 39.40000000000028; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 88.05112204166714; player life: 39.40000000000028; enemy life: 0; time: 361

RUN: run status: enemy: 5; fitness: -1.2877552789821038; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 29.815851109062518; player life: 0; enemy life: 60.0; time: 485

RUN: run status: enemy: 5; fitness: 92.38521039683077; player life: 80.20000000000019; enemy life: 0; time: 280

RUN: run status: enemy: 5; fitness: 11.012244721017872; player life: 89.2000000000001; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 87.61419793370403; player life: 32.200000000000266; enemy life: 0; time: 272

RUN: run status: enemy: 5; fitness: 88.23455310235678; player life: 38.80000000000028; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: -2.547755278982107; player life: 43.60000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.56775527898211; player life: 33.40000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.470799503782602; player life: 0; enemy life: 100; time: 646

RUN: run status: enemy: 5; fitness: -6.113682179832232; player life: 0; enemy life: 100; time: 452

RUN: run status: enemy: 5; fitness: -3.9877552789821107; player life: 29.20000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.20901301948916; player life: 28.000000000000256; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 88.4745531023568; player life: 41.20000000000029; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: 88.58284613236329; player life: 44.800000000000296; enemy life: 0; time: 364

